v6	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(R10)
-2.000000000000000e+002	2.833333e+001	3.888889e+001	-1.861111e+001	2.361111e+001	-4.722222e+000	2.777778e-001	-2.166667e+001	-1.638889e+001	-2.138889e+001	2.777778e+001
-1.999000000000000e+002	2.832083e+001	3.887222e+001	-1.859861e+001	2.359861e+001	-4.722222e+000	2.777778e-001	-2.165417e+001	-1.637639e+001	-2.137639e+001	2.776111e+001
-1.998000000000000e+002	2.830833e+001	3.885556e+001	-1.858611e+001	2.358611e+001	-4.722222e+000	2.777778e-001	-2.164167e+001	-1.636389e+001	-2.136389e+001	2.774444e+001
-1.997000000000000e+002	2.829583e+001	3.883889e+001	-1.857361e+001	2.357361e+001	-4.722222e+000	2.777778e-001	-2.162917e+001	-1.635139e+001	-2.135139e+001	2.772778e+001
-1.996000000000000e+002	2.828333e+001	3.882222e+001	-1.856111e+001	2.356111e+001	-4.722222e+000	2.777778e-001	-2.161667e+001	-1.633889e+001	-2.133889e+001	2.771111e+001
-1.995000000000000e+002	2.827083e+001	3.880556e+001	-1.854861e+001	2.354861e+001	-4.722222e+000	2.777778e-001	-2.160417e+001	-1.632639e+001	-2.132639e+001	2.769444e+001
-1.994000000000000e+002	2.825833e+001	3.878889e+001	-1.853611e+001	2.353611e+001	-4.722222e+000	2.777778e-001	-2.159167e+001	-1.631389e+001	-2.131389e+001	2.767778e+001
-1.993000000000000e+002	2.824583e+001	3.877222e+001	-1.852361e+001	2.352361e+001	-4.722222e+000	2.777778e-001	-2.157917e+001	-1.630139e+001	-2.130139e+001	2.766111e+001
-1.992000000000001e+002	2.823333e+001	3.875555e+001	-1.851111e+001	2.351111e+001	-4.722222e+000	2.777778e-001	-2.156667e+001	-1.628889e+001	-2.128889e+001	2.764444e+001
-1.991000000000001e+002	2.822083e+001	3.873889e+001	-1.849861e+001	2.349861e+001	-4.722222e+000	2.777778e-001	-2.155417e+001	-1.627639e+001	-2.127639e+001	2.762778e+001
-1.990000000000001e+002	2.820833e+001	3.872222e+001	-1.848611e+001	2.348611e+001	-4.722222e+000	2.777778e-001	-2.154167e+001	-1.626389e+001	-2.126389e+001	2.761111e+001
-1.989000000000001e+002	2.819583e+001	3.870555e+001	-1.847361e+001	2.347361e+001	-4.722222e+000	2.777778e-001	-2.152917e+001	-1.625139e+001	-2.125139e+001	2.759444e+001
-1.988000000000001e+002	2.818333e+001	3.868889e+001	-1.846111e+001	2.346111e+001	-4.722222e+000	2.777778e-001	-2.151667e+001	-1.623889e+001	-2.123889e+001	2.757778e+001
-1.987000000000001e+002	2.817083e+001	3.867222e+001	-1.844861e+001	2.344861e+001	-4.722222e+000	2.777778e-001	-2.150417e+001	-1.622639e+001	-2.122639e+001	2.756111e+001
-1.986000000000001e+002	2.815833e+001	3.865556e+001	-1.843611e+001	2.343611e+001	-4.722222e+000	2.777778e-001	-2.149167e+001	-1.621389e+001	-2.121389e+001	2.754445e+001
-1.985000000000001e+002	2.814583e+001	3.863889e+001	-1.842361e+001	2.342361e+001	-4.722222e+000	2.777778e-001	-2.147917e+001	-1.620139e+001	-2.120139e+001	2.752778e+001
-1.984000000000001e+002	2.813333e+001	3.862222e+001	-1.841111e+001	2.341111e+001	-4.722222e+000	2.777778e-001	-2.146667e+001	-1.618889e+001	-2.118889e+001	2.751111e+001
-1.983000000000001e+002	2.812083e+001	3.860556e+001	-1.839861e+001	2.339861e+001	-4.722222e+000	2.777778e-001	-2.145417e+001	-1.617639e+001	-2.117639e+001	2.749444e+001
